Anime_id,Name,Genres,,,,,,,,,,,,,,
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",,,,,,,,,,,,,,
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",,,,,,,,,,,,,,
6,Trigun,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",,,,,,,,,,,,,,
7,Witch Hunter Robin,"Action, Mystery, Police, Supernatural, Drama, Magic",,,,,,,,,,,,,,
8,Bouken Ou Beet,"Adventure, Fantasy, Shounen, Supernatural",,,,,,,,,,,,,,
15,Eyeshield 21,"Action, Sports, Comedy, Shounen",,,,,,,,,,,,,,
16,Hachimitsu to Clover,"Comedy, Drama, Josei, Romance, Slice of Life",,,,,,,,,,,,,,
17,Hungry Heart: Wild Striker,"Slice of Life, Comedy, Sports, Shounen",,,,,,,,,,,,,,
18,Initial D Fourth Stage,"Action, Cars, Sports, Drama, Seinen",,,,,,,,,,,,,,
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",,,,,,,,,,,,,,
20,Naruto,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",,,,,,,,,,,,,,
21,One Piece,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",,,,,,,,,,,,,,
22,Tennis no Ouji-sama,"Action, Comedy, Sports, School, Shounen",,,,,,,,,,,,,,
23,Ring ni Kakero 1,"Action, Shounen, Sports",,,,,,,,,,,,,,
24,School Rumble,"Comedy, Romance, School, Shounen",,,,,,,,,,,,,,
25,Sunabouzu,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",,,,,,,,,,,,,,
26,Texhnolyze,"Action, Sci-Fi, Psychological, Drama",,,,,,,,,,,,,,
27,Trinity Blood,"Action, Supernatural, Vampire",,,,,,,,,,,,,,
28,Yakitate!! Japan,"Comedy, Shounen",,,,,,,,,,,,,,
29,Zipang,"Action, Military, Sci-Fi, Historical, Drama, Seinen",,,,,,,,,,,,,,
30,Neon Genesis Evangelion,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",,,,,,,,,,,,,,
31,Neon Genesis Evangelion: Death & Rebirth,"Drama, Mecha, Psychological, Sci-Fi",,,,,,,,,,,,,,
32,Neon Genesis Evangelion: The End of Evangelion,"Sci-Fi, Dementia, Psychological, Drama, Mecha",,,,,,,,,,,,,,
33,Kenpuu Denki Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",,,,,,,,,,,,,,
43,Koukaku Kidoutai,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",,,,,,,,,,,,,,
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",,,,,,,,,,,,,,
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",,,,,,,,,,,,,,
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"Samurai, Historical, Drama, Shounen",,,,,,,,,,,,,,
47,Akira,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",,,,,,,,,,,,,,
48,.hack//Sign,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",,,,,,,,,,,,,,
49,Aa! Megami-sama!,"Comedy, Magic, Romance, Seinen, Supernatural",,,,,,,,,,,,,,
50,Aa! Megami-sama! (TV),"Comedy, Supernatural, Magic, Romance, Seinen",,,,,,,,,,,,,,
51,Tenshi Kinryouku,"Action, Drama, Romance, Shoujo, Supernatural",,,,,,,,,,,,,,
52,Kidou Tenshi Angelic Layer,"Sci-Fi, Comedy, Sports, Drama, Shounen",,,,,,,,,,,,,,
53,Ai Yori Aoshi,"Harem, Slice of Life, Comedy, Drama, Romance",,,,,,,,,,,,,,
54,Appleseed (Movie),"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",,,,,,,,,,,,,,
55,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",,,,,,,,,,,,,,
56,Avenger,"Adventure, Fantasy, Sci-Fi, Shounen",,,,,,,,,,,,,,
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",,,,,,,,,,,,,,
58,Blue Gender,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",,,,,,,,,,,,,,
59,Chobits,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",,,,,,,,,,,,,,
60,Chrno Crusade,"Action, Demons, Historical, Romance, Shounen, Supernatural",,,,,,,,,,,,,,
61,D.N.Angel,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",,,,,,,,,,,,,,
62,D.C.: Da Capo,"Harem, Drama, Magic, Romance",,,,,,,,,,,,,,
63,DearS,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",,,,,,,,,,,,,,
64,Rozen Maiden,"Action, Comedy, Drama, Magic, Seinen",,,,,,,,,,,,,,
65,Rozen Maiden: TrÃ¤umend,"Action, Comedy, Drama, Magic, Seinen",,,,,,,,,,,,,,
66,Azumanga Daioh,"Slice of Life, Comedy, School",,,,,,,,,,,,,,
67,Basilisk: Kouga Ninpou Chou,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",,,,,,,,,,,,,,
68,Black Cat (TV),"Sci-Fi, Adventure, Comedy, Super Power, Shounen",,,,,,,,,,,,,,
69,Cluster Edge,"Action, Fantasy, Military, Sci-Fi",,,,,,,,,,,,,,
71,Full Metal Panic!,"Action, Military, Sci-Fi, Comedy, Mecha",,,,,,,,,,,,,,
